"player","team","pos","min","obpm","dbpm","bpm","role"
"Jesús Navas","Sevilla","DF",22.3,0.013,-0.025,-0.012,1
"Raúl de Tomás","Rayo Vallecano","FW",14.1,-0.008,-0.005,-0.012,3
"Eduardo Camavinga","Real Madrid","MF,DF",20.2,-0.031,0.019,-0.013,1.66666666666667
"Juanlu Sánchez","Sevilla","DF",13.1,0.018,-0.033,-0.014,1
"Santi Comesaña","Villarreal","MF",18.4,-0.009,-0.006,-0.015,2
"José Luis Morales","Villarreal","FW,MF",11.6,0.038,-0.053,-0.015,2.66666666666667
"José Luis Gayà","Valencia","DF",19.9,0.014,-0.03,-0.016,1
"Sergio Camello","Rayo Vallecano","FW",18.5,-0.033,0.016,-0.017,3
"Raúl Torrente","Granada","DF",13.9,-0.02,0.003,-0.017,1
"Abner","Real Betis","DF",15.6,0.022,-0.04,-0.018,1
"Cenk Özkacar","Valencia","DF",17.8,0.003,-0.021,-0.018,1
"Gabriel Paulista","Valencia","DF",15.5,0.006,-0.023,-0.018,1
"Jorge Herrando","Osasuna","DF",18.3,-0.023,0.005,-0.018,1
"Aleix García","Girona","MF",35.5,-0.035,0.015,-0.019,2
"Saúl Ñíguez","Atletico Madrid","MF",15.3,-0.026,0.008,-0.019,2
"Javier Muñoz","Las Palmas","MF",29.3,-0.003,-0.016,-0.019,2
"Raúl","Osasuna","FW",15.1,-0.012,-0.008,-0.02,3
"Roberto Navarro","Cadiz","MF,FW",21,-0.011,-0.011,-0.022,2.33333333333333
"Koke","Atletico Madrid","MF",27.7,-0.078,0.054,-0.023,2
"Sergio Ruiz","Granada","MF",27.7,-0.032,0.008,-0.023,2
"Nabil Fekir","Real Betis","MF,FW",11.7,0.011,-0.034,-0.024,2.33333333333333
"Carlos Dominguez","Celta Vigo","DF",17.6,-0.009,-0.016,-0.025,1
"Sergi Darder","Mallorca","MF",24,-0.025,0,-0.025,2
"Lucas","Cadiz","DF",17.1,0.023,-0.048,-0.025,1
"Roger Martí","Cadiz","FW",15.1,-0.015,-0.011,-0.026,3
"Daniel Parejo","Villarreal","MF",28.7,-0.05,0.023,-0.027,2
"Jaume Costa","Mallorca","DF",18.7,0.003,-0.03,-0.027,1
"Kirian Rodríguez","Las Palmas","MF",35.7,-0.025,-0.002,-0.027,2
"Frenkie de Jong","Barcelona","MF",18.2,-0.056,0.029,-0.028,2
"Jorge de Frutos","Rayo Vallecano","FW,MF",17.2,-0.019,-0.01,-0.029,2.66666666666667
