"player","team","pos","min","obpm","dbpm","bpm","role"
"Martin Dúbravka","Newcastle United","GK",22.1,-0.007,0.171,0.165,0
"Jarrod Bowen","West Ham United","FW",33.5,0.187,-0.022,0.165,3
"Eberechi Eze","Crystal Palace","MF,FW",22.8,0.172,-0.007,0.165,2.33333333333333
"James Tarkowski","Everton","DF",38,0.025,0.136,0.162,1
"Rodri","Manchester City","MF",32.6,0.06,0.101,0.161,2
"Declan Rice","Arsenal","MF",35.8,0.044,0.112,0.156,2
"Jan Paul van Hecke","Brighton & Hove Albion","DF",26.3,0.004,0.152,0.156,1
"Nathan Collins","Brentford","DF",29.5,0.015,0.14,0.155,1
"Dan Burn","Newcastle United","DF",30.3,0.055,0.098,0.154,1
"Yoane Wissa","Brentford","FW",27.7,0.156,-0.004,0.153,3
"Simon Adingra","Brighton & Hove Albion","FW",24.7,0.153,-0.001,0.152,3
"Matheus Cunha","Wolverhampton Wanderers","FW,MF",27.1,0.164,-0.014,0.15,2.66666666666667
"Ethan Pinnock","Brentford","DF",28,0.026,0.124,0.15,1
"Dominic Calvert-Lewin","Everton","FW",24.1,0.17,-0.02,0.149,3
"Morgan Gibbs-White","Nottingham Forest","MF,FW",35.1,0.099,0.049,0.149,2.33333333333333
"Moussa Diaby","Aston Villa","FW,MF",24.2,0.158,-0.01,0.148,2.66666666666667
"Diogo Jota","Liverpool","FW",12.7,0.191,-0.044,0.146,3
"Dejan Kulusevski","Tottenham Hotspur","FW,MF",30.7,0.155,-0.008,0.146,2.66666666666667
"Craig Dawson","Wolverhampton Wanderers","DF",24.5,0.027,0.118,0.145,1
"William Saliba","Arsenal","DF",38,-0.008,0.15,0.142,1
"Bruno Fernandes","Manchester United","MF,FW",34.6,0.123,0.019,0.142,2.33333333333333
"Jack Robinson","Sheffield United","DF",32.1,0.032,0.107,0.139,1
"Anel Ahmedhodžić","Sheffield United","DF",29.4,0.036,0.102,0.138,1
"Alphonse Areola","West Ham United","GK",30,-0.013,0.15,0.137,0
"Max Kilman","Wolverhampton Wanderers","DF",38,0.009,0.128,0.137,1
"Justin Kluivert","Bournemouth","MF,FW",21.3,0.151,-0.018,0.133,2.33333333333333
"Leon Bailey","Aston Villa","MF,FW",23,0.146,-0.013,0.132,2.33333333333333
"Casemiro","Manchester United","MF,DF",22,0.047,0.083,0.131,1.66666666666667
"Willy Boly","Nottingham Forest","DF",16,0.025,0.106,0.131,1
"Dara O'Shea","Burnley","DF",32.1,0.02,0.11,0.13,1
"Ezri Konsa","Aston Villa","DF",34.1,0.03,0.099,0.129,1
"Cristian Romero","Tottenham Hotspur","DF",31,0.024,0.105,0.129,1
"Illia Zabarnyi","Bournemouth","DF",37,-0.005,0.134,0.129,1
"Ben White","Arsenal","DF",33.2,-0.006,0.133,0.127,1
